year,month,avg_temperature
1997,Jan,14.74
1997,Feb,14.79
1997,Mar,18.23
1997,Apr,21.4
1997,May,24.26
1997,Jun,25.87
1997,Jul,26.58
1997,Aug,26.9
1997,Sep,24.9
1997,Oct,24.55
1997,Nov,21.3
1997,Dec,16.74
1998,Jan,15.16
1998,Feb,15.46
1998,Mar,17.35
1998,Apr,22.73
1998,May,25.32
1998,Jun,26.93
1998,Jul,27.71
1998,Aug,27.71
1998,Sep,26.4
1998,Oct,24.45
1998,Nov,20.97
1998,Dec,16.68
1999,Jan,14.74
1999,Feb,16.36
1999,Mar,18.45
1999,Apr,22.8
1999,May,23.32
1999,Jun,27.53
1999,Jul,27.94
1999,Aug,26.81
1999,Sep,26.27
1999,Oct,24.68
1999,Nov,20.03
1999,Dec,13.87
2000,Jan,14.77
2000,Feb,14.43
2000,Mar,20.75
2000,Apr,22.24
2000,May,25.29
2000,Jun,26.68
2000,Jul,27.58
2000,Aug,26.46
2000,Sep,26.07
2000,Oct,24.48
2000,Nov,18.9
2000,Dec,16.58
2001,Jan,15.29
2001,Feb,15.04
2001,Mar,19.06
2001,Apr,21.23
2001,May,25.42
2001,Jun,26.33
2001,Jul,26.74
2001,Aug,27.61
2001,Sep,26.57
2001,Oct,24.77
2001,Nov,18.8
2001,Dec,15.55
2002,Jan,14.53
2002,Feb,16.46
2002,Mar,20.06
2002,Apr,23.3
2002,May,25.48
2002,Jun,27.6
2002,Jul,27.29
2002,Aug,26.81
2002,Sep,25.53
2002,Oct,23.45
2002,Nov,19.1
2002,Dec,16
2003,Jan,13.19
2003,Feb,16.96
2003,Mar,17.71
2003,Apr,22.87
2003,May,25.97
2003,Jun,26.33
2003,Jul,28
2003,Aug,27.19
2003,Sep,26.4
2003,Oct,23.58
2003,Nov,20.07
2003,Dec,14.68
2004,Jan,13.68
2004,Feb,15.28
2004,Mar,17.9
2004,Apr,21.9
2004,May,24.65
2004,Jun,27.47
2004,Jul,26.97
2004,Aug,27.03
2004,Sep,26.03
2004,Oct,22.65
2004,Nov,20.53
2004,Dec,16.39
2005,Jan,13.35
2005,Feb,14.54
2005,Mar,15.32
2005,Apr,21.3
2005,May,24.06
2005,Jun,25.8
2005,Jul,27.23
2005,Aug,26.84
2005,Sep,26.97
2005,Oct,24.65
2005,Nov,22.04
2005,Dec,14.81
2006,Jan,14.84
2006,Feb,16.43
2006,Mar,16.94
2006,Apr,22.73
2006,May,24.68
2006,Jun,26.8
2006,Jul,27.81
2006,Aug,26.81
2006,Sep,25.3
2006,Oct,24.97
2006,Nov,21.43
2006,Dec,15.84
2007,Jan,14.1
2007,Feb,18.18
2007,Mar,18.97
2007,Apr,20.03
2007,May,24.97
2007,Jun,27.07
2007,Jul,28.26
2007,Aug,26.87
2007,Sep,26.57
2007,Oct,24.48
2007,Nov,19.03
2007,Dec,17.74
2008,Jan,13.32
2008,Feb,11.24
2008,Mar,18.19
2008,Apr,22.27
2008,May,24.16
2008,Jun,25.37
2008,Jul,26.9
2008,Aug,26.71
2008,Sep,26.93
2008,Oct,25.19
2008,Nov,20
2008,Dec,16.03
2009,Jan,12.58
2009,Feb,19.25
2009,Mar,18.23
2009,Apr,20.87
2009,May,23.94
2009,Jun,26.9
2009,Jul,27.52
2009,Aug,27.87
2009,Sep,27.5
2009,Oct,25.1
2009,Nov,18.17
2009,Dec,15.58
2010,Jan,15.26
2010,Feb,16.57
2010,Mar,18.55
2010,Apr,19.83
2010,May,24.52
2010,Jun,26.3
2010,Jul,27.71
2010,Aug,27.29
2010,Sep,26.4
2010,Oct,23.65
2010,Nov,19.4
2010,Dec,15.32
2011,Jan,10.77
2011,Feb,14.21
2011,Mar,15.81
2011,Apr,21
2011,May,24.35
2011,Jun,27.1
2011,Jul,27.45
2011,Aug,28.13
2011,Sep,26.63
2011,Oct,23.55
2011,Nov,22
2011,Dec,14.77
2012,Jan,12.93
2012,Feb,14.34
2012,Mar,17.65
2012,Apr,22.53
2012,May,26.61
2012,Jun,27.3
2012,Jul,27.32
2012,Aug,27.87
2012,Sep,26.47
2012,Oct,24.19
2012,Nov,20.7
2012,Dec,15.71
2013,Jan,14.81
2013,Feb,17.54
2013,Mar,19
2013,Apr,20.37
2013,May,24.61
2013,Jun,27.03
2013,Jul,26.97
2013,Aug,27.06
2013,Sep,26.5
2013,Oct,24.19
2013,Nov,19.97
2013,Dec,13.52
2014,Jan,14.16
2014,Feb,13.39
2014,Mar,17.65
2014,Apr,21.97
2014,May,25.32
2014,Jun,27.73
2014,Jul,27.97
2014,Aug,27.55
2014,Sep,27.73
2014,Oct,25.06
2014,Nov,21.5
2014,Dec,14.23
2015,Jan,14.87
2015,Feb,16.64
2015,Mar,19.32
2015,Apr,21.67
2015,May,26.52
2015,Jun,28.4
2015,Jul,27.74
2015,Aug,27.68
2015,Sep,27.13
2015,Oct,24.58
2015,Nov,22.63
2015,Dec,16.55
2016,Jan,14.52
2016,Feb,13.17
2016,Mar,16.26
2016,Apr,22.53
2016,May,25.68
2016,Jun,28.1
2016,Jul,28.26
2016,Aug,27.13
2016,Sep,26.77
2016,Oct,25.45
2016,Nov,20.37
2016,Dec,17.84
2017,Jan,17.23
2017,Feb,15.04
2017,Mar,18
2017,Apr,21.47
2017,May,24.58
2017,Jun,27.8
2017,Jul,27.42
2017,Aug,27.81
2017,Sep,27.57
2017,Oct,25.36
2017,Nov,0
2017,Dec,0